,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-09-30,2001-06-30,2001-03-31,2000-12-31,2000-09-30,2000-06-30,2000-03-31,1999-12-31,1999-09-30,1999-06-30,1999-03-31,1998-12-31,1998-09-30,1998-06-30,1998-03-31,1997-12-31,1997-09-30,1997-06-30,1997-03-31,1996-12-31,1996-09-30,1996-06-30,1996-03-31,1995-12-31,1995-09-30,1995-06-30,1995-03-31,1994-12-31,1994-09-30,1994-06-30,1994-03-31,1993-12-31,1993-09-30,1993-06-30,1993-03-31,1992-12-31,1992-09-30,1992-06-30,1992-03-31,1991-12-31,1991-09-30,1991-06-30,1991-03-31,1990-12-31,1990-09-30,1990-06-30,1990-03-31
date,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-09-30,2001-06-30,2001-03-31,2000-12-31,2000-09-30,2000-06-30,2000-03-31,1999-12-31,1999-09-30,1999-06-30,1999-03-31,1998-12-31,1998-09-30,1998-06-30,1998-03-31,1997-12-31,1997-09-30,1997-06-30,1997-03-31,1996-12-31,1996-09-30,1996-06-30,1996-03-31,1995-12-31,1995-09-30,1995-06-30,1995-03-31,1994-12-31,1994-09-30,1994-06-30,1994-03-31,1993-12-31,1993-09-30,1993-06-30,1993-03-31,1992-12-31,1992-09-30,1992-06-30,1992-03-31,1991-12-31,1991-09-30,1991-06-30,1991-03-31,1990-12-31,1990-09-30,1990-06-30,1990-03-31
filing_date,2023-11-02,2023-08-03,2023-05-04,2023-03-01,2022-11-04,2022-08-04,2022-05-05,2022-02-28,2021-11-03,2021-08-04,2021-05-06,2021-02-25,2020-11-06,2020-08-06,2020-05-07,2020-02-28,2019-11-06,2019-08-06,2019-05-07,2019-02-27,2018-11-06,2018-08-07,2018-05-08,2018-02-27,2017-11-02,2017-08-08,2017-05-08,2017-02-27,2016-11-04,2016-08-05,2016-05-09,2016-02-24,2015-11-05,2015-08-10,2015-05-11,2015-02-26,2014-11-06,2014-08-07,2014-05-08,2014-02-26,2013-11-07,2013-08-08,2013-05-09,2013-02-27,2012-11-07,2012-08-06,2012-05-04,2012-02-27,2011-11-04,2011-08-05,2011-05-09,2011-02-28,2010-11-04,2010-08-06,2010-05-07,2010-02-26,2009-11-06,2009-08-07,2009-05-08,2009-02-26,2008-11-06,2008-08-07,2008-05-08,2008-03-17,2007-11-06,2007-08-09,2007-05-23,,2006-11-07,2006-08-07,2006-04-04,2006-01-19,,,2005-05-05,2005-03-30,2004-11-08,2004-08-06,2004-05-10,2004-03-15,2003-11-14,2003-08-13,2003-05-15,2003-03-26,2002-11-12,2002-08-14,2002-05-15,2002-03-25,2001-11-14,2001-08-14,2001-05-15,2001-03-27,2000-11-14,2000-08-11,2000-05-15,2000-03-30,1999-11-15,1999-08-09,1999-05-17,1999-03-30,1998-11-16,1998-08-14,1998-05-15,1998-03-31,1997-11-13,1997-08-14,1997-05-15,1997-03-31,1996-11-01,1996-08-14,1996-05-06,1995-12-31,1995-09-30,1995-06-30,1995-03-31,1994-12-31,1994-09-30,1994-06-30,1994-03-31,1993-12-31,1993-09-30,1993-06-30,1993-03-31,1992-12-31,1992-09-30,1992-06-30,1992-03-31,1991-12-31,1991-09-30,1991-06-30,1991-03-31,1990-12-31,1990-09-30,1990-06-30,1990-03-31
currency_symbol,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD
totalAssets,43161000000.00,39013000000.00,39357000000.00,38363000000.00,37775000000.00,36070000000.00,34648000000.00,32963000000.00,35030000000.00,34727000000.00,35203000000.00,34603000000.00,34267000000.00,34566000000.00,34142000000.00,33648000000.00,33423000000.00,33238000000.00,33471000000.00,32521000000.00,32489000000.00,32597000000.00,32573000000.00,33112000000.00,38834000000.00,36469000000.00,36508000000.00,36119000000.00,37108000000.00,36974000000.00,36900000000.00,36850000000.00,37000000000.00,38584000000.00,37997000000.00,38966000000.00,38983000000.00,39433000000.00,40973000000.00,40411000000.00,41250000000.00,40836000000.00,42718000000.00,41830000000.00,41356000000.00,42749000000.00,45431000000.00,45333000000.00,40883000000.00,42635000000.00,40500000000.00,40511000000.00,41780000000.00,40701000000.00,41882000000.00,39535000000.00,39261000000.00,37418000000.00,34838000000.00,34806000000.00,36653000000.00,38115000000.00,35745000000.00,34453000000.00,33350000000.00,32622000000.00,31163000000.00,31163000000.00,31936000000.00,30973000000.00,29432000000.00,29380000000.00,29648000000.00,29380000000.00,29663000000.00,29732000000.00,29956000000.00,28997000000.00,29734000000.00,29904000000.00,30415000000.00,34158000000.00,32869000000.00,33776000000.00,36566000000.00,38675000000.00,40201000000.00,36736000000.00,36381000000.00,35529000000.00,35588000000.00,31033000000.00,29470000000.00,29020000000.00,23402000000.00,20880000000.00,12106000000.00,11237000000.00,10165000000.00,10781000000.00,10387000000.00,10464000000.00,8995000000.00,8909000000.00,6568000000.00,6332000000.00,4078000000.00,3622000000.00,3419000000.00,2941000000.00,3622000000.00,2320000000.00,2225500000.00,2142700000.00,1972400000.00,1914900000.00,1899500000.00,1869600000.00,1858200000.00,,,,,,,,,,,,,,,,
intangibleAssets,2290000000.00,2282000000.00,1862000000.00,1841000000.00,1626000000.00,1646000000.00,1585000000.00,1450000000.00,928000000.00,900000000.00,797000000.00,827000000.00,614000000.00,566000000.00,459000000.00,469000000.00,462000000.00,460000000.00,467000000.00,436000000.00,400000000.00,341000000.00,362000000.00,366000000.00,474000000.00,397000000.00,353000000.00,359000000.00,227000000.00,219000000.00,209000000.00,214000000.00,251000000.00,241000000.00,261000000.00,281000000.00,283000000.00,299000000.00,293000000.00,297000000.00,325000000.00,408000000.00,417000000.00,429000000.00,462000000.00,507000000.00,550000000.00,566000000.00,493000000.00,527000000.00,515000000.00,516000000.00,610000000.00,574000000.00,508000000.00,510000000.00,487000000.00,486000000.00,484000000.00,500000000.00,501000000.00,529000000.00,474000000.00,505000000.00,333000000.00,341000000.00,305000000.00,1679000000.00,1412000000.00,1416000000.00,1428000000.00,1758000000.00,1449000000.00,1454000000.00,-38000000.00,1694000000.00,1376000000.00,1376000000.00,1381000000.00,1378000000.00,1385000000.00,1374000000.00,1375000000.00,1388000000.00,2040000000.00,2262000000.00,3105000000.00,3208000000.00,,,,2307000000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
earningAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
otherCurrentAssets,1472000000.00,1449000000.00,1523000000.00,1533000000.00,1303000000.00,1269000000.00,1110000000.00,897000000.00,889000000.00,868000000.00,728000000.00,726000000.00,747000000.00,880000000.00,843000000.00,802000000.00,856000000.00,811000000.00,703000000.00,807000000.00,706000000.00,682000000.00,703000000.00,630000000.00,1080000000.00,1061000000.00,1040000000.00,1151000000.00,1266000000.00,1441000000.00,1461000000.00,1473000000.00,1514000000.00,1799000000.00,1562000000.00,1434000000.00,1192000000.00,1220000000.00,1252000000.00,976000000.00,836000000.00,1157000000.00,1403000000.00,1114000000.00,1009000000.00,1087000000.00,1394000000.00,1576000000.00,1128000000.00,855000000.00,741000000.00,1059000000.00,1240000000.00,1205000000.00,1482000000.00,1798000000.00,1416000000.00,1249000000.00,1152000000.00,1117000000.00,3638000000.00,3369000000.00,3521000000.00,1076000000.00,2717000000.00,2882000000.00,2021000000.00,1682000000.00,2039000000.00,1867000000.00,1345000000.00,1868000000.00,1389000000.00,1396000000.00,990000000.00,1537000000.00,1823000000.00,1705000000.00,2100000000.00,1562000000.00,1759000000.00,2026000000.00,2045000000.00,1921000000.00,2272000000.00,2372000000.00,2050000000.00,1507000000.00,883000000.00,1124000000.00,1074000000.00,2695000000.00,1216000000.00,1481000000.00,653000000.00,675000000.00,339000000.00,310000000.00,289000000.00,261000000.00,334000000.00,285000000.00,267000000.00,447000000.00,153000000.00,133000000.00,138000000.00,132000000.00,52000000.00,77000000.00,132000000.00,85000000.00,84800000.00,83100000.00,97500000.00,113800000.00,44800000.00,47200000.00,49800000.00,,,,,,,,,,,,,,,,
totalLiab,37905000000.00,36747000000.00,34894000000.00,33859000000.00,32314000000.00,31217000000.00,29934000000.00,28396000000.00,29266000000.00,29330000000.00,29535000000.00,29883000000.00,30194000000.00,29924000000.00,29425000000.00,28419000000.00,28037000000.00,27770000000.00,27822000000.00,26917000000.00,26780000000.00,26940000000.00,27048000000.00,28267000000.00,32655000000.00,30395000000.00,30379000000.00,30419000000.00,31340000000.00,31301000000.00,30716000000.00,30679000000.00,30539000000.00,31500000000.00,30962000000.00,31641000000.00,31417000000.00,31925000000.00,33332000000.00,32760000000.00,33284000000.00,33029000000.00,34977000000.00,34316000000.00,33520000000.00,33248000000.00,34960000000.00,35604000000.00,31026000000.00,31798000000.00,29398000000.00,30098000000.00,30997000000.00,30047000000.00,31346000000.00,30655000000.00,30696000000.00,29187000000.00,27141000000.00,31137000000.00,28719000000.00,30017000000.00,28985000000.00,31289000000.00,26914000000.00,26298000000.00,25027000000.00,25027000000.00,26323000000.00,26266000000.00,26172000000.00,26722000000.00,26710000000.00,26722000000.00,26252000000.00,26482000000.00,27300000000.00,26657000000.00,27492000000.00,28454000000.00,28831000000.00,33089000000.00,32207000000.00,33299000000.00,33249000000.00,34212000000.00,34672000000.00,29667000000.00,30143000000.00,28457000000.00,27157000000.00,24840000000.00,24063000000.00,23310000000.00,19331000000.00,17095000000.00,9090000000.00,8400000000.00,7811000000.00,7705000000.00,7474000000.00,7736000000.00,6279000000.00,6353000000.00,4495000000.00,4636000000.00,2726000000.00,2688000000.00,2540000000.00,2151000000.00,2688000000.00,1613000000.00,1521000000.00,1462300000.00,1355000000.00,1329900000.00,1344400000.00,1342200000.00,1361000000.00,,,,,,,,,,,,,,,,
totalStockholderEquity,2779000000.00,-1523000000.00,2362000000.00,2437000000.00,3409000000.00,2995000000.00,3044000000.00,2798000000.00,3482000000.00,3265000000.00,3377000000.00,2634000000.00,2004000000.00,2462000000.00,2539000000.00,2996000000.00,3140000000.00,3208000000.00,3234000000.00,3208000000.00,3305000000.00,3309000000.00,3193000000.00,2465000000.00,3186000000.00,3021000000.00,2991000000.00,2794000000.00,2882000000.00,2766000000.00,3201000000.00,3149000000.00,3567000000.00,3864000000.00,4022000000.00,4272000000.00,4397000000.00,4211000000.00,4193000000.00,4330000000.00,4813000000.00,4749000000.00,4633000000.00,4569000000.00,4424000000.00,6123000000.00,6489000000.00,5946000000.00,6233000000.00,6911000000.00,6852000000.00,6473000000.00,6890000000.00,6687000000.00,6247000000.00,4675000000.00,4583000000.00,4392000000.00,3915000000.00,3669000000.00,4229000000.00,4289000000.00,3321000000.00,3164000000.00,3199000000.00,3061000000.00,3036000000.00,2965000000.00,2673000000.00,2451000000.00,1649000000.00,1228000000.00,1407000000.00,1214000000.00,1748000000.00,1645000000.00,1430000000.00,1174000000.00,1077000000.00,645000000.00,687000000.00,206000000.00,-144000000.00,-341000000.00,2413000000.00,3511000000.00,4259000000.00,5539000000.00,5128000000.00,5659000000.00,5781000000.00,4811000000.00,4006000000.00,3990000000.00,2856000000.00,2637000000.00,1502000000.00,1514000000.00,1046000000.00,1794000000.00,1712000000.00,1532000000.00,1513000000.00,1481000000.00,1444000000.00,1073000000.00,891000000.00,721000000.00,689000000.00,610000000.00,721000000.00,549000000.00,485700000.00,458300000.00,428800000.00,401000000.00,378700000.00,351300000.00,336000000.00,,,,,,,,,,,,,,,,
deferredLongTermLiab,,1104000000.00,1110000000.00,1139000000.00,1169000000.00,1086000000.00,1035000000.00,834000000.00,1144000000.00,1121000000.00,1136000000.00,1100000000.00,926000000.00,1166000000.00,1105000000.00,1213000000.00,1198000000.00,1233000000.00,1302000000.00,1280000000.00,1214000000.00,1165000000.00,1207000000.00,1006000000.00,742000000.00,746000000.00,758000000.00,804000000.00,1042000000.00,1036000000.00,1118000000.00,1090000000.00,1185000000.00,1281000000.00,1223000000.00,1277000000.00,1165000000.00,1114000000.00,1145000000.00,1119000000.00,1116000000.00,1195000000.00,1239000000.00,1238000000.00,1417000000.00,1354000000.00,1445000000.00,1328000000.00,621000000.00,891000000.00,907000000.00,895000000.00,1249000000.00,1208000000.00,1130000000.00,1090000000.00,1316000000.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
otherCurrentLiab,3149000000.00,-4528000000.00,3034000000.00,3003000000.00,1827000000.00,1707000000.00,2211000000.00,2127000000.00,2065000000.00,1905000000.00,2385000000.00,2338000000.00,2222000000.00,526000000.00,438000000.00,442000000.00,455000000.00,418000000.00,418000000.00,8000000.00,17000000.00,17000000.00,63000000.00,1033000000.00,15000000.00,37000000.00,41000000.00,2313000000.00,802000000.00,841000000.00,2613000000.00,13000000.00,30000000.00,9000000.00,9000000.00,2586000000.00,2523000000.00,2442000000.00,812000000.00,837000000.00,838000000.00,2610000000.00,54000000.00,2827000000.00,2864000000.00,2570000000.00,202000000.00,219000000.00,261000000.00,232000000.00,212000000.00,2965000000.00,76000000.00,134000000.00,150000000.00,143000000.00,3444000000.00,2975000000.00,2495000000.00,2912000000.00,3320000000.00,3493000000.00,3364000000.00,151000000.00,3353000000.00,2617000000.00,2684000000.00,2819000000.00,2860000000.00,2655000000.00,2504000000.00,2359000000.00,2685000000.00,2410000000.00,2095000000.00,1919000000.00,2588000000.00,2356000000.00,2409000000.00,2416000000.00,2027000000.00,4615000000.00,4422000000.00,2031000000.00,2155000000.00,2365000000.00,1867000000.00,1550000000.00,2129000000.00,2000000000.00,1840000000.00,1709000000.00,1550000000.00,1636000000.00,1051000000.00,973000000.00,649000000.00,377000000.00,347000000.00,348000000.00,360000000.00,456000000.00,364000000.00,403000000.00,222000000.00,235000000.00,105000000.00,120000000.00,124000000.00,57000000.00,120000000.00,61000000.00,64300000.00,76400000.00,32900000.00,34400000.00,40000000.00,35700000.00,100000.00,,,,,,,,,,,,,,,,
commonStock,8000000.00,8000000.00,8000000.00,8000000.00,8000000.00,8000000.00,8000000.00,8000000.00,8000000.00,8000000.00,8000000.00,8000000.00,8000000.00,8000000.00,8000000.00,8000000.00,8000000.00,8000000.00,8000000.00,8000000.00,8000000.00,8000000.00,8000000.00,8000000.00,8000000.00,8000000.00,8000000.00,8000000.00,8000000.00,8000000.00,8000000.00,8000000.00,8000000.00,8000000.00,8000000.00,8000000.00,8000000.00,8000000.00,8000000.00,8000000.00,8000000.00,8000000.00,8000000.00,8000000.00,8000000.00,8000000.00,8000000.00,8000000.00,8000000.00,8000000.00,8000000.00,8000000.00,8000000.00,8000000.00,8000000.00,7000000.00,7000000.00,7000000.00,7000000.00,7000000.00,7000000.00,7000000.00,7000000.00,7000000.00,7000000.00,7000000.00,7000000.00,7000000.00,7000000.00,7000000.00,7000000.00,7000000.00,7000000.00,7000000.00,7000000.00,7000000.00,6000000.00,6000000.00,6000000.00,6000000.00,6000000.00,6000000.00,6000000.00,6000000.00,5000000.00,5000000.00,5000000.00,5000000.00,5000000.00,5000000.00,5000000.00,5000000.00,5000000.00,5000000.00,2000000.00,2000000.00,2000000.00,2000000.00,2000000.00,2000000.00,2000000.00,2000000.00,2000000.00,2000000.00,2000000.00,1000000.00,1000000.00,1000000.00,1000000.00,1000000.00,1000000.00,1000000.00,700000.00,700000.00,700000.00,700000.00,800000.00,800000.00,700000.00,,,,,,,,,,,,,,,,
capitalStock,846000000.00,846000000.00,846000000.00,846000000.00,846000000.00,846000000.00,846000000.00,833000000.00,1051000000.00,1051000000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
retainedEarnings,-1292000000.00,-1523000000.00,-1484000000.00,-1635000000.00,-732000000.00,-1153000000.00,-974000000.00,-1089000000.00,-457000000.00,-800000000.00,-828000000.00,-680000000.00,-998000000.00,-665000000.00,-583000000.00,-692000000.00,-614000000.00,-824000000.00,-839000000.00,-1005000000.00,-1133000000.00,-1234000000.00,-1525000000.00,-2276000000.00,-934000000.00,-1086000000.00,-1139000000.00,-1146000000.00,-114000000.00,-284000000.00,198000000.00,143000000.00,370000000.00,258000000.00,423000000.00,512000000.00,413000000.00,-75000000.00,-208000000.00,-150000000.00,56000000.00,-15000000.00,-182000000.00,-264000000.00,-439000000.00,1159000000.00,1019000000.00,678000000.00,887000000.00,1018000000.00,844000000.00,620000000.00,1056000000.00,942000000.00,791000000.00,650000000.00,698000000.00,513000000.00,210000000.00,-8000000.00,40000000.00,-105000000.00,-1008000000.00,-1241000000.00,-1260000000.00,-1364000000.00,-1025000000.00,-1025000000.00,-1034000000.00,-694000000.00,-1214000000.00,-3646000000.00,-1362000000.00,-3646000000.00,-680000000.00,-813000000.00,-877000000.00,-1017000000.00,-1055000000.00,-1103000000.00,-659000000.00,-735000000.00,-606000000.00,-700000000.00,2067000000.00,2381000000.00,2496000000.00,2809000000.00,2757000000.00,2754000000.00,2642000000.00,1761000000.00,1541000000.00,1406000000.00,1294000000.00,1120000000.00,1008000000.00,950000000.00,879000000.00,892000000.00,798000000.00,717000000.00,646000000.00,581000000.00,525000000.00,478000000.00,436000000.00,396000000.00,360000000.00,328000000.00,396000000.00,271000000.00,242900000.00,215600000.00,189100000.00,164300000.00,131200000.00,105600000.00,80000000.00,,,,,,,,,,,,,,,,
otherLiab,,,,,6214000000.00,6054000000.00,6111000000.00,6332000000.00,6091000000.00,3549000000.00,6135000000.00,6070000000.00,4852000000.00,5084000000.00,5066000000.00,4697000000.00,4795000000.00,4737000000.00,4709000000.00,4822000000.00,4585000000.00,4530000000.00,4451000000.00,2595000000.00,4434000000.00,4252000000.00,4407000000.00,4401000000.00,4070000000.00,4126000000.00,4017000000.00,3823000000.00,3884000000.00,4354000000.00,4264000000.00,4564000000.00,4382000000.00,4438000000.00,4859000000.00,5041000000.00,5548000000.00,5454000000.00,6105000000.00,6162000000.00,5274000000.00,5349000000.00,5439000000.00,5636000000.00,4400000000.00,4550000000.00,4298000000.00,4385000000.00,4739000000.00,4642000000.00,4956000000.00,4941000000.00,4993000000.00,4657000000.00,4467000000.00,4491000000.00,4384000000.00,4969000000.00,4901000000.00,4689000000.00,4613000000.00,4444000000.00,4688000000.00,4828000000.00,4248000000.00,4176000000.00,4104000000.00,4098000000.00,4304000000.00,4259000000.00,4093000000.00,4218000000.00,4053000000.00,3819000000.00,4165000000.00,4124000000.00,4314000000.00,5602000000.00,5189000000.00,8123000000.00,4230000000.00,4421000000.00,3578000000.00,2158000000.00,1757000000.00,1701000000.00,1767000000.00,1399000000.00,1453000000.00,1409000000.00,965000000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
goodWill,362000000.00,362000000.00,362000000.00,362000000.00,1179000000.00,1179000000.00,1182000000.00,1177000000.00,1110000000.00,1110000000.00,1146000000.00,1061000000.00,1059000000.00,1059000000.00,1059000000.00,1059000000.00,1059000000.00,1059000000.00,1059000000.00,1059000000.00,1059000000.00,1059000000.00,1059000000.00,1059000000.00,1157000000.00,1157000000.00,1157000000.00,1157000000.00,1157000000.00,1157000000.00,1157000000.00,1157000000.00,1473000000.00,1473000000.00,1465000000.00,1458000000.00,1468000000.00,1468000000.00,1468000000.00,1622000000.00,1941000000.00,1999000000.00,1999000000.00,1999000000.00,1967000000.00,3801000000.00,3732000000.00,3733000000.00,1246000000.00,1267000000.00,1269000000.00,1271000000.00,1276000000.00,1293000000.00,1297000000.00,1299000000.00,1423000000.00,1430000000.00,1417000000.00,1421000000.00,1468000000.00,1481000000.00,1483000000.00,1416000000.00,1438000000.00,1468000000.00,1419000000.00,1416000000.00,1412000000.00,1416000000.00,1428000000.00,1454000000.00,1449000000.00,1454000000.00,1460000000.00,1378000000.00,1376000000.00,1376000000.00,1381000000.00,1378000000.00,1385000000.00,1374000000.00,1375000000.00,1388000000.00,2040000000.00,2262000000.00,3105000000.00,3208000000.00,,,,2307000000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
otherAssets,3773000000.00,28097000000.00,3465000000.00,3475000000.00,4624000000.00,4471000000.00,4205000000.00,3994000000.00,3733000000.00,3812000000.00,3740000000.00,4475000000.00,3635000000.00,3337000000.00,3365000000.00,3101000000.00,3070000000.00,3298000000.00,2058000000.00,3501000000.00,3630000000.00,3864000000.00,3744000000.00,6418000000.00,7818000000.00,6959000000.00,6959000000.00,6861000000.00,6531000000.00,6558000000.00,6537000000.00,7168000000.00,7317000000.00,7629000000.00,7507000000.00,5989000000.00,6029000000.00,6398000000.00,7631000000.00,7560000000.00,7917000000.00,7158000000.00,7448000000.00,7452000000.00,7188000000.00,9335000000.00,10283000000.00,10374000000.00,7003000000.00,6915000000.00,6731000000.00,6444000000.00,7037000000.00,7051000000.00,6595000000.00,6451000000.00,6307000000.00,6342000000.00,5920000000.00,6087000000.00,6170000000.00,6111000000.00,6463000000.00,6097000000.00,5902000000.00,5828000000.00,6957000000.00,7439000000.00,5656000000.00,5668000000.00,5542000000.00,5546000000.00,5476000000.00,5492000000.00,5681000000.00,5760000000.00,6389000000.00,6277000000.00,6519000000.00,6513000000.00,6555000000.00,9813000000.00,9498000000.00,10581000000.00,8558000000.00,9643000000.00,9066000000.00,8649000000.00,9134000000.00,9484000000.00,9661000000.00,7614000000.00,7693000000.00,7310000000.00,6316000000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cash,1765000000.00,-26543000000.00,1441000000.00,1374000000.00,1553000000.00,1075000000.00,1056000000.00,943000000.00,1411000000.00,1213000000.00,1886000000.00,1089000000.00,1505000000.00,1417000000.00,1544000000.00,1029000000.00,1145000000.00,1169000000.00,1426000000.00,1166000000.00,1187000000.00,1140000000.00,1212000000.00,949000000.00,1398000000.00,1213000000.00,1588000000.00,1305000000.00,1325000000.00,1265000000.00,1185000000.00,1262000000.00,1437000000.00,1022000000.00,1337000000.00,1539000000.00,1670000000.00,1515000000.00,1413000000.00,1642000000.00,2031000000.00,1611000000.00,2301000000.00,1970000000.00,1943000000.00,1727000000.00,1688000000.00,1710000000.00,3392000000.00,3624000000.00,2008000000.00,2554000000.00,2848000000.00,2891000000.00,3392000000.00,1809000000.00,2020000000.00,1735000000.00,1267000000.00,903000000.00,1707000000.00,2286000000.00,1766000000.00,2058000000.00,2273000000.00,2140000000.00,2123000000.00,2123000000.00,2449000000.00,1841000000.00,1810000000.00,1381000000.00,1164000000.00,1381000000.00,1946000000.00,1408000000.00,1582000000.00,1248000000.00,1120000000.00,1737000000.00,1477000000.00,2151000000.00,1163000000.00,780000000.00,975000000.00,1028000000.00,1313000000.00,922000000.00,1297000000.00,1190000000.00,1830000000.00,881000000.00,1106000000.00,1200000000.00,822000000.00,669000000.00,702000000.00,391000000.00,437000000.00,491000000.00,383000000.00,367000000.00,317000000.00,302000000.00,358000000.00,323000000.00,423000000.00,185000000.00,243000000.00,220000000.00,185000000.00,239000000.00,248300000.00,242900000.00,231500000.00,255200000.00,334600000.00,299400000.00,292700000.00,,,,,,,,,,,,,,,,
cashAndEquivalents,1765000000.00,1322000000.00,1441000000.00,1374000000.00,1553000000.00,1075000000.00,1056000000.00,943000000.00,1411000000.00,1213000000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
